Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
04/03/2016,"17 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",Dublin,,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2016,"11 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",Galway,,"€95,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/12/2016,"30 The Glen, Oldtown Mill, Celbridge",Kildare,,"€285,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/07/2016,"17 BURROW COURT, PORTMARNOCK, DUBLIN",Dublin,,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2016,"INNISFREE, WAFERSBOROUGH ARDAMINE, GOREY",Wexford,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"96 WOODLANDS, DUNLEER, LOUTH",Louth,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2016,"12 ABBOT CRESCENT, HOLYCROSS, THURLES",Tipperary,,"€162,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2016,"22 CHURCH ST, SKERRIES, DUBLIN",Dublin,,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2016,"65 RIDGEWOOD SQ, SWORDS, DUBLIN",Dublin,,"€198,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"64 Chestnut Avenue, Fruithill Manor, Graiguecullen",Laois,,"€127,753.30",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/08/2016,"41 ROS GLAS, MONASTEREVAN, KILDARE",Kildare,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2016,"16 ADMIRAN PARK, STRANORLAR, DONEGAL",Donegal,,"€113,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"BALLYDUFFMORE, BALLYDUFF, DUNGARVAN",Waterford,,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2016,"APT 4, THE SACRATASSAGARD GREEN, SAGGART",Dublin,,"€238,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2016,"4 BLACKBERRY LANE, RATHMINES, DUBLIN 6",Dublin,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2016,"13 SOUTH LOTTS RD, DUBLIN 4, DUBLIN",Dublin,,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2016,"23 WATERMILL PARK, RAHENY, DUBLIN 5",Dublin,,"€341,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2016,"58 SHINGAN, MILEHOUSE RD, ENNISCORTHY",Wexford,,"€86,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"135 WHITEFIELDS, STATION RD, PORTARLINGTON",Laois,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"11 Castle Rivers, Conna",Cork,,"€215,860.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/03/2016,"14 DUNLIN STREET, ASTON VILLAGE, DROGHEDA",Louth,,"€139,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2016,"12 THE RISE, BARNHILL RD, DALKEY",Dublin,,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2016,"2 MORNINGTON MANOR CRESCENT, MORNINGTON, MEATH",Meath,,"€213,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2016,"117 Ashmount Mews, Silversprings",Cork,,"€132,158.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/08/2016,"RAHTBRAN, GRANGECON, CO WICKLOW",Wicklow,,"€197,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2016,"APT 3A, CARROWMORE MEADOWS, KNOCK",Mayo,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"THE MANSE, DROMENA RD, CASTLEBELLINGHAM",Louth,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"44 BROOKLANDS, MARLTON RD, WICKLOW",Wicklow,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2016,"31 DOWLAND RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2016,"2 LADYCASTLE COTTAGES, STRAFFAN, KILDARE",Kildare,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2016,"45 PRIORY COURT, EDEN GATE, DELGANY",Wicklow,,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2016,"72 SPRINGFIELD GROVE, ROSSMORE VILLAGE, DUNDRUM RD",Tipperary,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2016,"14 CORAL, THE GRANGE, BREWERY ROAD",Dublin,,"€397,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2016,"52 Orchard Way, Greenwood Walk, Ayrfield",Dublin,,"€130,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/01/2016,"FAIRWAYS, THE PARK, KILLARNEY",Kerry,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2016,"16 Smithlands Court, Kilkenny",Kilkenny,,"€85,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres
23/06/2016,"APT 38 SMITHFIELD GATE, RED COW LANE, SMITHFIELD",Dublin,,"€178,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2016,"12 OAK DR, RUSHBROOKE LINKS, COBH",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"69 The Bay, Elm Park, Merrion Road",Dublin,,"€141,481.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2016,"6 DRUMCONDRA RD LOWER, DUBLIN 9, DUBLIN",Dublin,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2016,"55 GLEANN RUA, BALLYGARVAN, CORK",Cork,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/09/2016,"Carrowreagh, Killoran, Ballinasloe",Galway,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2016,"TOBERMAING, CASTLEISLAND, CO. KERRY",Kerry,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2016,"17 KNIGHTSBRIGE MEWS, LONGWOOD ROAD, TRIM",Meath,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2016,"36 Hayfield, Straffan Road, Maynooth",Kildare,,"€229,075.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/03/2016,"111 MARITANA GATE, CANADA ST, WATERFORD",Waterford,,"€63,636.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"Old Postoffice, Raharney",Westmeath,,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"2 CNOC NA GAOITHE, LANESBORO, LONGFORD",Longford,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"32 BROOKLAWNS, POLLERTON, CARLOW",Carlow,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2016,"1 SINGLETON COTTAGES, MELL, DROGHEDA",Louth,,"€71,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2016,"APARTMENT 51, TEMPLE COURT, DOMINIC STREET",Dublin,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2016,"9 THE ORCHARD, DUNCARBRY, TULLAGHAN",Leitrim,,"€61,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2016,"NO. 11 THE LINKS, TULLA STRAND, BUNDORAN",Donegal,,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2016,"CORNER HOUSE, COACHFORD, CORK",Cork,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2016,"MUSCRAI, KILSHANNA, MITCHELSTOWN",Cork,,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2016,"33 Woodleigh Park, Blessington",Wicklow,,"€230,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/11/2016,"74 THE WAY, HUNTERS RUN, CLONEE DUBLIN 15",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"RAHAN, MALLOW, CORK",Cork,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2016,"9 THE WILLOWS, GORT AN OIR, CASTLEMARTYR",Cork,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2016,"33 DAARWOOD, GORTBOY, NEWCASTLE WEST",Limerick,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/11/2016,"2 RIVER GLEN, CURRACLOE, ENNISCORTHY",Wexford,,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2016,"74A RATHVILLY DRIVE, FINGLAS, DUBLIN 11",Dublin,,"€116,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"APT 401, WINDMILL HOUSE, DOCK RD",Limerick,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"74 CLUAIN ARD, SEA RD, ARKLOW",Wicklow,,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2016,"17 Wyvern Square, Bray Civic Centre, Bray",Wicklow,,"€541,851.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/01/2016,"DERRY, BERRINGS, CORK",Cork,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2016,"4 GLENDARA, DROMOD, LEITRIM",Leitrim,,"€93,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2016,"THE HILL, ABBEYFEALE, LIMERICK",Limerick,,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2016,"CORBALLY, KILKEE, CLARE",Clare,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"89 WOODVIEW, CAHIR, TIPPERARY",Tipperary,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2016,"69 COLLEGE ST, CAVAN, CAVAN",Cavan,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2016,"70 THE CLOSE, CURRAGH GRANGE, NEWBRIDGE",Kildare,,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2016,"4 CARA STREET, CLONES, CO MONAGAN",Monaghan,,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/07/2016,"3 THE DALE, MOYGLARE HALL, MAYNOOTH",Kildare,,"€287,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"THE BUNGALOW, ARBUCKLE ROW, BACHELORS WALK",Mayo,,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"28 Hayfield, Straffan Road",Kildare,,"€320,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/05/2016,"BLACKTHORN LODGE, OLDTOWN, NQF 25 N16",Dublin,,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2016,"8 MANOR CLOSE, CARRICK ON SUIR, CO TIPPERARY",Tipperary,,"€117,275.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"12 GLENVILLE RD, BLANCHARDSTOWN, DUBLIN 15",Dublin,,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"60 BRUACH NA HABHAINN, QUIN ROAD, ENNIS",Clare,,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2016,"43 CASTLEMANOR, RACECOURSE ROAD, ROSCOMMON",Roscommon,,"€149,780.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/06/2016,"6 LAKE GARDENS, KILMINCHY, PORTLAOISE",Laois,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2016,"CLONCOGHER, KILLEIGH, TULLAMORE",Offaly,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2016,"2 SOMMERVILLE, REEVESWOODS, DOUGLAS",Cork,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"11 CONNOLLY ST, BANDON, CORK",Cork,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2016,"48 BOTANIC AVE, DRUMCONDRA, DUBLIN 9",Dublin,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"56 CHURCHWELL DR, BELMAYNE, BALGRIFFIN DUBLIN 17",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"1 Kilmalum Drive, Blessington Manor, Blessington",Kildare,,"€387,665.20",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
25/05/2016,"89 COLLEGE ST, BALLYSHANNON, DONEGAL",Donegal,,"€84,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2016,"ROSAN, 9 DOWDINGSTOWN, TWO MILE HOUSE",Kildare,,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"Apartment 171 Neptune Block, Honeypark, Dun Laoghaire",Dublin,,"€308,370.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/04/2016,"206 ROSEMOUNT, THURLES, TIPPERARY",Tipperary,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2016,"Knockaunbaun, Knockroe, Loughrea",Galway,,"€102,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2016,"9 ST PHILOMENAS PLACE, CARRIGALINE, CORK",Cork,,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"APT 2 COOPER HOUSE, 38 WATERCOURSE ROAD, BLACKPOOL",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2016,"APT 2, SPEAKERS CORNER, LIMERICK",Limerick,,"€24,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"15 Glebe Hill, Brackenstown, Swords",Dublin,,"€352,422.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/06/2016,"1F BEECH PARK, BALLYHAUNIS, MAYO",Mayo,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2016,"DRUMINAGLIEVE, DRIMLONG, NEWPORT",Mayo,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2016,"3 FABIS, HIGH ROAD, LETTERKENNY",Donegal,,"€16,750.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2016,"99 THE MALTINGS, BOHAN ST, DUBLIN CITY",Dublin,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2016,"18 CHURCHLANDS, SLANE, MEATH",Meath,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"8 CONOR MANOR, VIRGINIA RD, BAILIEBOROUGH",Cavan,,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"2 PRIORY VIEW, ST RAPHAELS MANOR, CELBRIDGE",Kildare,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2016,"2279 MARYVILLE, KILDARE",Kildare,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2016,"9 HEATHER LAWN, MARLAY WOOD, RATHFARNHAM DUBLIN 16",Dublin,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2016,"2 SEAVIEW CLOSE, CARRIGALINE, CORK",Cork,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2016,"20 JOE MURPHY RD, BALLYPHEHANE, CORK",Cork,,"€125,024.88",Yes,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"9 MCNAMARA TERRACE, WOLFE TONE ST, LIMERICK",Limerick,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2016,"14 WOODSIDE HALL, TICKNOCK HILL, TICKNOCK DUBLIN 18",Dublin,,"€231,200.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2016,"3 BARR NA SRAIDE, SLEAVEEN ROAD, MACROOM",Cork,,"€106,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2016,"46 PEARSE PARK, DUNDALK, LOUTH",Louth,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2016,"45 SHANGANAGH VALE, CABINTEELY, DUBLIN",Dublin,,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2016,"55 SANDY COVE, PHASE 2, BALLYMONEY",Wexford,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2016,"26 The Beeches, Archerstown Demesne, Ashbourne",Meath,,"€303,965.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/04/2016,"34 Monalin, Newtownmountkennedy",Wicklow,,"€237,004.39",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/12/2016,"APT 15, SOUTH MALL COURT, BEASLY ST",Cork,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2016,"2 WATERVILLE, ENNISCROME, SLIGO",Sligo,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2016,"3 CASTLEFARM WOOD, SHANKILL, DUBLIN 18",Dublin,,"€442,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2016,"THE PIGEONS, ATHLONE, WESTMEATH",Westmeath,,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"18 C HORAN HALL, BELGARD SQUARE, TALLAGHT",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2016,"IVY HOUSE, MAIN ST, FOYNES",Limerick,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2016,"21 BALDWIN ST, MITCHELSTOWN, CORK",Cork,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2016,"26 ST JOHNS, TRIM, MEATH",Meath,,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2016,"7 GLENVIEW, KILLGARRON HILL, ENNISKERRY",Wicklow,,"€715,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"DRUMARD HOUSE, KILLYKEEN, CAVAN",Cavan,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2016,"77 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14",Dublin,,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2016,"BERMINGHAM ROAD, TUAM, CO GALWAY",Galway,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2016,"1 MONALEE HEIGHTS, BALLYMONEEN ROAD, KNOCKNACARRA",Galway,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2016,"41 MILLBROOK VILLAGE, MILLTOWN, KILLARNEY",Kerry,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2016,"STONE COTTAGE, SEAFRONT, GREENORE",Louth,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"32 ROYAL MEADOWS, KILCOCK, KILDARE",Kildare,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2016,"APT 3 ODRISCOLL BUILDINGS, MAINSTREET, INNISHANNON",Cork,,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/09/2016,"17 Ard Aoibheann, Donegal Town, COUNTY DONEGAL",Donegal,,"€172,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/06/2016,"MILL HOUSE, BALLYARR, RAMELTON",Donegal,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2016,"Broomfield, Midleton",Cork,,"€70,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
12/02/2016,"43 TOWNPARKS, COMMONS RD, NAVAN",Meath,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2016,"7 Belarmine Walk, Belarmine Woods, Stepaside  Dublin 18",Dublin,,"€348,010.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/06/2016,"THE TURRETS, CHARLEVILLE, CORK",Cork,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2016,"28 ARD CARRAIG, SKIBBEREEN, CORK",Cork,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2016,"26 CASHEL COURT, KNOCKNACARRA RD, SALTHILL",Galway,,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2016,"6 THE BRAMBLES, HUNTSFIELD, DOORADOYLE",Limerick,,"€178,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2016,"Apartment 45 Castlegrange Park, Castaheaney, Castleknock",Dublin,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"82 CLEARSTREAM COURT MCKEE AVE, FINGLAS DUBLIN 1, DUBLIN",Dublin,,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2016,"54 SANDYFORD VIEW, SANDYFORD, DUBLIN 18",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2016,"GAULTRIMSLAND, RIVERSTOWN, DUNDALK",Louth,,"€243,371.27",No,No,Second-Hand Dwelling house /Apartment,
01/06/2016,"138 ARDLEIGH VALE, MULLINGAR, WESTMEATH",Westmeath,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2016,"23 HARBOURSIDE, KINCORA HARBOUR, KILLALOE",Clare,,"€214,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"48 The Meadows, Tir Cluain, Knockgriffin",Cork,,"€150,660.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2016,"83 SHANAGARRY APTS, MILLTOWN, DUBLIN 6",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2016,"23 CNOC NA CILLE, BALLYBRIT, GALWAY",Galway,,"€48,333.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2016,"24 BEECHFIELD WAY, CASTAHEANY, DUBLIN 15",Dublin,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"BALLYDERMODY, FENOR, WATERFORD",Waterford,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2016,"28 BRIDGE STREET, CARRICK ON SUIR, COUNTY TIPPERARY",Tipperary,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2016,"57 KILREENDOWNEY AVE, BALLYPHEHANE, CORK",Cork,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2016,"24 LEINSTER WOOD SOUTH, CARTON DEMESNE, MAYNOOTH",Kildare,,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2016,"18 CUL AN ATH, BARNA, GALWAY",Galway,,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2016,"5 MILLBROOK COURT, MILL RD, MIDLETON",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
