Address,County,not_full_price,vatx,row_id,price,year,quarter,year_norm,is_new_property,distance,LnP
"90 DUN NA HINSE, LAHINCH ROAD, ENNIS",Clare,0,0,20,63.0,2016,2,0,0,31.396463451049097,4.143134726391533
"40 CLUAIN ARD, BALLYVALLEY, TRALEE",Kerry,0,0,21,149.0,2016,3,0,0,15.864334312360056,5.003946305945459
"APT 44, MANOR HALL, MOUNT BROWNE DUBLIN 8",Dublin,0,0,22,220.0,2016,3,0,0,2.0096305578111666,5.393627546352362
"91 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,0,0,23,191.0,2016,4,0,0,2.0096305578111666,5.25227342804663
"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,0,0,24,275.0,2016,2,0,0,2.0096305578111666,5.616771097666572
"CARRIGFOYLE, MONKS MEADOW, COAST ROAD",Dublin,0,0,25,1000.0,2016,4,0,0,2.0096305578111666,6.907755278982137
"17 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",Dublin,0,0,26,281.0,2016,1,0,0,2.0096305578111666,5.638354669333745
"11 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",Galway,1,0,27,95.0,2016,2,0,0,0.5437668292500759,4.553876891600541
"30 The Glen, Oldtown Mill, Celbridge",Kildare,1,1,28,285.0,2016,4,0,1,31.487079811322385,5.652489180268651
"17 BURROW COURT, PORTMARNOCK, DUBLIN",Dublin,0,0,29,640.0,2016,3,0,0,12.468515745861657,6.461468176353717
"INNISFREE, WAFERSBOROUGH ARDAMINE, GOREY",Wexford,0,0,30,210.0,2016,3,0,0,39.30239724018922,5.3471075307174685
"96 WOODLANDS, DUNLEER, LOUTH",Louth,0,0,31,175.0,2016,4,0,0,18.118189172853143,5.1647859739235145
"12 ABBOT CRESCENT, HOLYCROSS, THURLES",Tipperary,0,0,32,162.5,2016,3,0,0,26.49299612503627,5.090678001769792
"22 CHURCH ST, SKERRIES, DUBLIN",Dublin,0,0,33,525.0,2016,4,0,0,27.35597717672329,6.263398262591624
"65 RIDGEWOOD SQ, SWORDS, DUBLIN",Dublin,0,0,34,198.0,2016,2,0,0,10.837484119001182,5.288267030694535
"64 Chestnut Avenue, Fruithill Manor, Graiguecullen",Laois,0,1,35,127.75,2016,4,0,1,7.741995117891213,4.850075229083814
"41 ROS GLAS, MONASTEREVAN, KILDARE",Kildare,0,0,36,155.0,2016,3,0,0,10.641727441746161,5.043425116919247
"16 ADMIRAN PARK, STRANORLAR, DONEGAL",Donegal,0,0,37,113.0,2016,4,0,0,28.07681557164664,4.727387818712341
"BALLYDUFFMORE, BALLYDUFF, DUNGARVAN",Waterford,0,0,38,550.0,2016,3,0,0,39.959556604973706,6.309918278226516
"APT 4, THE SACRATASSAGARD GREEN, SAGGART",Dublin,0,0,39,238.0,2016,4,0,0,2.0096305578111666,5.472270673671475
"4 BLACKBERRY LANE, RATHMINES, DUBLIN 6",Dublin,0,0,40,440.0,2016,1,0,0,2.3797149846042993,6.0867747269123065
"13 SOUTH LOTTS RD, DUBLIN 4, DUBLIN",Dublin,0,0,41,435.0,2016,2,0,0,2.2368774071734663,6.075346031088684
"23 WATERMILL PARK, RAHENY, DUBLIN 5",Dublin,0,0,42,341.0,2016,4,0,0,6.47979414138095,5.831882477283517
"58 SHINGAN, MILEHOUSE RD, ENNISCORTHY",Wexford,0,0,43,86.5,2016,1,0,0,19.321477610811513,4.460144413937834
"135 WHITEFIELDS, STATION RD, PORTARLINGTON",Laois,0,0,44,145.0,2016,1,0,0,15.973834473240409,4.976733742420574
"11 Castle Rivers, Conna",Cork,0,1,45,215.86,2016,4,0,1,32.893975569406294,5.3746300493972
"14 DUNLIN STREET, ASTON VILLAGE, DROGHEDA",Louth,0,0,46,139.0,2016,1,0,0,31.22984457593267,4.9344739331306915
"12 THE RISE, BARNHILL RD, DALKEY",Dublin,0,0,47,850.0,2016,3,0,0,2.0096305578111666,6.745236349484363
"2 MORNINGTON MANOR CRESCENT, MORNINGTON, MEATH",Meath,0,0,48,213.0,2016,2,0,0,27.901735364234327,5.3612921657094255
"117 Ashmount Mews, Silversprings",Cork,0,1,49,132.16,2016,2,0,1,0.34741860459685614,4.884013309772668
"RAHTBRAN, GRANGECON, CO WICKLOW",Wicklow,0,0,50,197.5,2016,3,0,0,21.330118661805336,5.285738584341177
"APT 3A, CARROWMORE MEADOWS, KNOCK",Mayo,0,0,51,120.0,2016,1,0,0,25.747468824633163,4.787491742782046
"THE MANSE, DROMENA RD, CASTLEBELLINGHAM",Louth,0,0,52,245.0,2016,4,0,0,10.82231324608226,5.501258210544727
"44 BROOKLANDS, MARLTON RD, WICKLOW",Wicklow,0,0,53,160.0,2016,1,0,0,21.330118661805336,5.075173815233827
"31 DOWLAND RD, WALKINSTOWN, DUBLIN 12",Dublin,0,0,54,250.0,2016,1,0,0,5.267366793817284,5.521460917862246
"2 LADYCASTLE COTTAGES, STRAFFAN, KILDARE",Kildare,0,0,55,320.0,2016,1,0,0,26.8854492157953,5.768320995793772
"45 PRIORY COURT, EDEN GATE, DELGANY",Wicklow,0,0,56,162.0,2016,1,0,0,24.476630306580024,5.087596335232384
"72 SPRINGFIELD GROVE, ROSSMORE VILLAGE, DUNDRUM RD",Tipperary,0,0,57,132.0,2016,4,0,0,0.05299817937483624,4.882801922586371
"14 CORAL, THE GRANGE, BREWERY ROAD",Dublin,0,0,58,397.5,2016,4,0,0,2.0096305578111666,5.985194934094387
"52 Orchard Way, Greenwood Walk, Ayrfield",Dublin,0,1,59,130.0,2016,3,0,1,2.0096305578111666,4.867534450455582
"FAIRWAYS, THE PARK, KILLARNEY",Kerry,0,0,60,290.0,2016,1,0,0,12.115766262065765,5.66988092298052
"16 Smithlands Court, Kilkenny",Kilkenny,0,0,61,85.0,2016,2,0,1,0.5005663805450715,4.442651256490317
"APT 38 SMITHFIELD GATE, RED COW LANE, SMITHFIELD",Dublin,0,0,62,178.5,2016,2,0,0,2.0096305578111666,5.184588601219693
"12 OAK DR, RUSHBROOKE LINKS, COBH",Cork,0,0,63,200.0,2016,4,0,0,12.951704995467543,5.298317366548036
"69 The Bay, Elm Park, Merrion Road",Dublin,0,0,64,141.48,2016,1,0,0,2.0096305578111666,4.95215836433728
"6 DRUMCONDRA RD LOWER, DUBLIN 9, DUBLIN",Dublin,0,0,65,140.0,2016,2,0,0,1.375449168603807,4.941642422609304
"55 GLEANN RUA, BALLYGARVAN, CORK",Cork,0,0,66,220.0,2016,2,0,0,8.575753000044699,5.393627546352362
"17 KNIGHTSBRIGE MEWS, LONGWOOD ROAD, TRIM",Meath,0,0,69,180.0,2016,2,0,0,10.548776625784198,5.19295685089021
"36 Hayfield, Straffan Road, Maynooth",Kildare,0,1,70,229.08,2016,4,0,1,32.744287990411955,5.434071287525657
"111 MARITANA GATE, CANADA ST, WATERFORD",Waterford,0,0,71,63.64,2016,1,0,0,0.1652789234369528,4.153242203469586
"Old Postoffice, Raharney",Westmeath,0,0,72,365.0,2016,1,0,0,16.077161886831615,5.8998973535824915
"2 CNOC NA GAOITHE, LANESBORO, LONGFORD",Longford,0,0,73,85.0,2016,2,0,0,0.4183382356519619,4.442651256490317
"32 BROOKLAWNS, POLLERTON, CARLOW",Carlow,0,0,74,145.0,2016,4,0,0,118.26832088355232,4.976733742420574
"1 SINGLETON COTTAGES, MELL, DROGHEDA",Louth,0,0,75,71.0,2016,3,0,0,31.22984457593267,4.2626798770413155
"APARTMENT 51, TEMPLE COURT, DOMINIC STREET",Dublin,0,0,76,100.0,2016,1,0,0,2.0096305578111666,4.605170185988092
"9 THE ORCHARD, DUNCARBRY, TULLAGHAN",Leitrim,0,0,77,61.0,2016,1,0,0,43.807591888624806,4.110873864173311
"NO. 11 THE LINKS, TULLA STRAND, BUNDORAN",Donegal,0,0,78,133.0,2016,1,0,0,22.477106664027627,4.890349128221754
"MUSCRAI, KILSHANNA, MITCHELSTOWN",Cork,0,0,80,137.0,2016,4,0,0,43.23715275071214,4.919980925828125
"33 Woodleigh Park, Blessington",Wicklow,1,1,81,230.0,2016,2,0,1,23.220075409132708,5.438079308923196
"74 THE WAY, HUNTERS RUN, CLONEE DUBLIN 15",Dublin,0,0,82,295.0,2016,4,0,0,2.0096305578111666,5.68697535633982
"9 THE WILLOWS, GORT AN OIR, CASTLEMARTYR",Cork,0,0,84,280.0,2016,1,0,0,29.288312122869122,5.634789603169249
"33 DAARWOOD, GORTBOY, NEWCASTLE WEST",Limerick,0,0,85,130.0,2016,1,0,0,37.84232436429304,4.867534450455582
"2 RIVER GLEN, CURRACLOE, ENNISCORTHY",Wexford,0,0,86,162.0,2016,4,0,0,19.321477610811513,5.087596335232384
"74A RATHVILLY DRIVE, FINGLAS, DUBLIN 11",Dublin,0,0,87,116.0,2016,4,0,0,5.065606818521254,4.7535901911063645
"74 CLUAIN ARD, SEA RD, ARKLOW",Wicklow,0,0,89,193.0,2016,1,0,0,26.29341318645993,5.262690188904886
"17 Wyvern Square, Bray Civic Centre, Bray",Wicklow,0,1,90,541.85,2016,3,0,1,30.04996442143383,6.294989210369004
"DERRY, BERRINGS, CORK",Cork,0,0,91,140.0,2016,1,0,0,15.880979757104466,4.941642422609304
"4 GLENDARA, DROMOD, LEITRIM",Leitrim,0,0,92,93.0,2016,3,0,0,29.236843910742696,4.532599493153256
"THE HILL, ABBEYFEALE, LIMERICK",Limerick,0,0,93,66.0,2016,4,0,0,55.46708960530419,4.189654742026425
"69 COLLEGE ST, CAVAN, CAVAN",Cavan,0,0,96,70.0,2016,4,0,0,0.22484301351156544,4.248495242049359
"70 THE CLOSE, CURRAGH GRANGE, NEWBRIDGE",Kildare,0,0,97,212.0,2016,1,0,0,7.95602455716664,5.356586274672012
"3 THE DALE, MOYGLARE HALL, MAYNOOTH",Kildare,1,0,99,287.5,2016,3,0,0,33.33742659427844,5.661222860237405
"THE BUNGALOW, ARBUCKLE ROW, BACHELORS WALK",Mayo,0,0,100,72.0,2016,4,0,0,15.908362513197387,4.276666119016055
"28 Hayfield, Straffan Road",Kildare,0,1,101,320.0,2016,4,0,1,0.46631319290968043,5.768320995793772
"BLACKTHORN LODGE, OLDTOWN, NQF 25 N16",Dublin,0,0,102,515.0,2016,2,0,0,2.0096305578111666,6.244166900663736
"8 MANOR CLOSE, CARRICK ON SUIR, CO TIPPERARY",Tipperary,0,0,103,117.28,2016,4,0,0,52.98187133127458,4.764564238138341
"12 GLENVILLE RD, BLANCHARDSTOWN, DUBLIN 15",Dublin,0,0,104,410.0,2016,1,0,0,9.215112527845303,6.016157159698354
"60 BRUACH NA HABHAINN, QUIN ROAD, ENNIS",Clare,0,0,105,127.0,2016,4,0,0,31.396463451049097,4.844187086458591
"43 CASTLEMANOR, RACECOURSE ROAD, ROSCOMMON",Roscommon,0,1,106,149.78,2016,2,0,1,15.132130808923701,5.009167550821221
"6 LAKE GARDENS, KILMINCHY, PORTLAOISE",Laois,0,0,107,100.0,2016,2,0,0,0.06977685660492246,4.605170185988092
"CLONCOGHER, KILLEIGH, TULLAMORE",Offaly,0,0,108,300.0,2016,2,0,0,19.244059611113396,5.703782474656201
"2 SOMMERVILLE, REEVESWOODS, DOUGLAS",Cork,0,0,109,265.0,2016,1,0,0,3.862878878212698,5.579729825986222
"11 CONNOLLY ST, BANDON, CORK",Cork,0,0,110,155.0,2016,3,0,0,24.279820770495196,5.043425116919247
"48 BOTANIC AVE, DRUMCONDRA, DUBLIN 9",Dublin,0,0,111,345.0,2016,3,0,0,2.0337435171112963,5.84354441703136
"56 CHURCHWELL DR, BELMAYNE, BALGRIFFIN DUBLIN 17",Dublin,0,0,112,275.0,2016,4,0,0,2.0096305578111666,5.616771097666572
"1 Kilmalum Drive, Blessington Manor, Blessington",Kildare,0,1,113,387.67,2016,4,0,1,0.46631319290968043,5.960154462265867
"89 COLLEGE ST, BALLYSHANNON, DONEGAL",Donegal,0,0,114,84.0,2016,2,0,0,17.568218177631927,4.430816798843313
"ROSAN, 9 DOWDINGSTOWN, TWO MILE HOUSE",Kildare,0,0,115,495.0,2016,3,0,0,0.46631319290968043,6.20455776256869
"Apartment 171 Neptune Block, Honeypark, Dun Laoghaire",Dublin,0,1,116,308.37,2016,4,0,1,2.0096305578111666,5.7313003606929405
"206 ROSEMOUNT, THURLES, TIPPERARY",Tipperary,0,0,117,160.0,2016,2,0,0,31.716593454027713,5.075173815233827
"Knockaunbaun, Knockroe, Loughrea",Galway,0,1,118,102.5,2016,1,0,1,33.61876194990017,4.629862798578463
"9 ST PHILOMENAS PLACE, CARRIGALINE, CORK",Cork,0,0,119,152.0,2016,1,0,0,11.008152165429374,5.0238805208462765
"APT 2 COOPER HOUSE, 38 WATERCOURSE ROAD, BLACKPOOL",Cork,0,0,120,90.0,2016,2,0,0,1.3413410200891656,4.499809670330265
"15 Glebe Hill, Brackenstown, Swords",Dublin,0,1,122,352.42,2016,4,0,1,2.0096305578111666,5.864823646140585
"1F BEECH PARK, BALLYHAUNIS, MAYO",Mayo,0,0,123,80.0,2016,2,0,0,36.24088841882479,4.382026634673881
"99 THE MALTINGS, BOHAN ST, DUBLIN CITY",Dublin,0,0,126,150.0,2016,4,0,0,2.0096305578111666,5.0106352940962555
"18 CHURCHLANDS, SLANE, MEATH",Meath,0,0,127,80.0,2016,3,0,0,13.80120807842289,4.382026634673881
"8 CONOR MANOR, VIRGINIA RD, BAILIEBOROUGH",Cavan,0,0,128,79.0,2016,4,0,0,26.997120437024137,4.3694478524670215
"2 PRIORY VIEW, ST RAPHAELS MANOR, CELBRIDGE",Kildare,0,0,129,320.0,2016,4,0,0,31.487079811322385,5.768320995793772
"2279 MARYVILLE, KILDARE",Kildare,0,0,130,130.0,2016,1,0,0,0.4318003995722521,4.867534450455582
"9 HEATHER LAWN, MARLAY WOOD, RATHFARNHAM DUBLIN 16",Dublin,0,0,131,330.0,2016,1,0,0,2.0096305578111666,5.799092654460526
"2 SEAVIEW CLOSE, CARRIGALINE, CORK",Cork,0,0,132,210.0,2016,1,0,0,11.309711353653539,5.3471075307174685
"20 JOE MURPHY RD, BALLYPHEHANE, CORK",Cork,1,0,133,125.02,2016,1,0,0,0.34741860459685614,4.828473724503667
"9 MCNAMARA TERRACE, WOLFE TONE ST, LIMERICK",Limerick,0,0,134,120.0,2016,4,0,0,0.26593756967240056,4.787491742782046
"14 WOODSIDE HALL, TICKNOCK HILL, TICKNOCK DUBLIN 18",Dublin,0,0,135,231.2,2016,3,0,0,2.0096305578111666,5.443283136798223
"3 BARR NA SRAIDE, SLEAVEEN ROAD, MACROOM",Cork,0,0,136,106.5,2016,1,0,0,32.55009434805952,4.66814498514948
"46 PEARSE PARK, DUNDALK, LOUTH",Louth,0,0,137,95.0,2016,4,0,0,0.7695449835920187,4.553876891600541
"45 SHANGANAGH VALE, CABINTEELY, DUBLIN",Dublin,0,0,138,530.0,2016,1,0,0,13.263680405025964,6.272877006546167
"55 SANDY COVE, PHASE 2, BALLYMONEY",Wexford,0,0,139,226.0,2016,3,0,0,40.8201010582968,5.420534999272286
"26 The Beeches, Archerstown Demesne, Ashbourne",Meath,0,1,140,303.96,2016,1,0,1,20.734358677009745,5.716896113801584
"34 Monalin, Newtownmountkennedy",Wicklow,0,1,141,237.0,2016,2,0,1,20.30589724447222,5.4680601411351315
"APT 15, SOUTH MALL COURT, BEASLY ST",Cork,0,0,142,80.0,2016,4,0,0,0.505526851354784,4.382026634673881
"2 WATERVILLE, ENNISCROME, SLIGO",Sligo,0,0,143,125.0,2016,3,0,0,0.8820024879802578,4.8283137373023015
"3 CASTLEFARM WOOD, SHANKILL, DUBLIN 18",Dublin,0,0,144,442.0,2016,2,0,0,2.0096305578111666,6.091309882077698
"THE PIGEONS, ATHLONE, WESTMEATH",Westmeath,0,0,145,194.0,2016,2,0,0,32.1070305175402,5.267858159063328
"18 C HORAN HALL, BELGARD SQUARE, TALLAGHT",Dublin,0,0,146,170.0,2016,4,0,0,2.0096305578111666,5.135798437050262
"IVY HOUSE, MAIN ST, FOYNES",Limerick,0,0,147,218.0,2016,2,0,0,33.14780061127844,5.384495062789089
"21 BALDWIN ST, MITCHELSTOWN, CORK",Cork,0,0,148,70.0,2016,2,0,0,43.51804804691242,4.248495242049359
"26 ST JOHNS, TRIM, MEATH",Meath,0,0,149,282.5,2016,4,0,0,9.45383213401265,5.643678550586496
"7 GLENVIEW, KILLGARRON HILL, ENNISKERRY",Wicklow,0,0,150,715.0,2016,1,0,0,26.48843615439205,6.5722825426940075
"DRUMARD HOUSE, KILLYKEEN, CAVAN",Cavan,0,0,151,385.0,2016,1,0,0,6.387501494623063,5.953243334287785
"77 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14",Dublin,0,0,152,355.0,2016,2,0,0,2.0096305578111666,5.872117789475416
"BERMINGHAM ROAD, TUAM, CO GALWAY",Galway,0,0,153,130.0,2016,1,0,0,30.595443370437685,4.867534450455582
"1 MONALEE HEIGHTS, BALLYMONEEN ROAD, KNOCKNACARRA",Galway,0,0,154,195.0,2016,3,0,0,0.5437668292500759,5.272999558563747
"41 MILLBROOK VILLAGE, MILLTOWN, KILLARNEY",Kerry,0,0,155,150.0,2016,3,0,0,12.115766262065765,5.0106352940962555
"STONE COTTAGE, SEAFRONT, GREENORE",Louth,0,0,156,95.0,2016,2,0,0,18.009127893197135,4.553876891600541
"32 ROYAL MEADOWS, KILCOCK, KILDARE",Kildare,0,0,157,420.0,2016,4,0,0,30.700359719022508,6.040254711277414
"APT 3 ODRISCOLL BUILDINGS, MAINSTREET, INNISHANNON",Cork,0,0,158,86.0,2016,4,0,0,19.35202518619981,4.454347296253507
"17 Ard Aoibheann, Donegal Town, COUNTY DONEGAL",Donegal,0,1,159,172.5,2016,3,0,1,0.6180164947367002,5.150397236471415
"MILL HOUSE, BALLYARR, RAMELTON",Donegal,0,0,160,200.0,2016,2,0,0,51.782301818154856,5.298317366548036
"Broomfield, Midleton",Cork,0,1,161,70.0,2016,1,0,1,21.120772579023207,4.248495242049359
"43 TOWNPARKS, COMMONS RD, NAVAN",Meath,0,0,162,100.0,2016,1,0,0,5.509492786401523,4.605170185988092
"7 Belarmine Walk, Belarmine Woods, Stepaside  Dublin 18",Dublin,0,1,163,348.01,2016,1,0,1,2.0096305578111666,5.852231214993798
"THE TURRETS, CHARLEVILLE, CORK",Cork,0,0,164,140.0,2016,2,0,0,52.168932596797696,4.941642422609304
"28 ARD CARRAIG, SKIBBEREEN, CORK",Cork,0,0,165,145.0,2016,4,0,0,66.19841457808872,4.976733742420574
"26 CASHEL COURT, KNOCKNACARRA RD, SALTHILL",Galway,0,0,166,206.0,2016,4,0,0,0.5437668292500759,5.327876168789581
"6 THE BRAMBLES, HUNTSFIELD, DOORADOYLE",Limerick,0,0,167,178.5,2016,3,0,0,3.548044331895838,5.184588601219693
"Apartment 45 Castlegrange Park, Castaheaney, Castleknock",Dublin,0,0,168,160.0,2016,1,0,0,2.0096305578111666,5.075173815233827
"82 CLEARSTREAM COURT MCKEE AVE, FINGLAS DUBLIN 1, DUBLIN",Dublin,0,0,169,222.5,2016,3,0,0,2.0096305578111666,5.404927101606295
"54 SANDYFORD VIEW, SANDYFORD, DUBLIN 18",Dublin,0,0,170,300.0,2016,4,0,0,8.938956566919693,5.703782474656201
"GAULTRIMSLAND, RIVERSTOWN, DUNDALK",Louth,0,0,171,243.37,2016,2,0,0,0.9678208849813799,5.494582919054
"138 ARDLEIGH VALE, MULLINGAR, WESTMEATH",Westmeath,0,0,172,132.0,2016,2,0,0,1.775676451578953,4.882801922586371
"23 HARBOURSIDE, KINCORA HARBOUR, KILLALOE",Clare,0,0,173,214.0,2016,3,0,0,20.108124313634033,5.365976015021851
"48 The Meadows, Tir Cluain, Knockgriffin",Cork,0,1,174,150.66,2016,2,0,1,18.846646428510816,5.015025642397549
"83 SHANAGARRY APTS, MILLTOWN, DUBLIN 6",Dublin,0,0,175,325.0,2016,1,0,0,2.0096305578111666,5.783825182329737
"24 BEECHFIELD WAY, CASTAHEANY, DUBLIN 15",Dublin,0,0,177,235.0,2016,2,0,0,2.0096305578111666,5.459585514144159
"BALLYDERMODY, FENOR, WATERFORD",Waterford,0,0,178,210.0,2016,4,0,0,0.1652789234369528,5.3471075307174685
"28 BRIDGE STREET, CARRICK ON SUIR, COUNTY TIPPERARY",Tipperary,0,0,179,70.0,2016,2,0,0,52.23204592348474,4.248495242049359
"57 KILREENDOWNEY AVE, BALLYPHEHANE, CORK",Cork,0,0,180,210.0,2016,4,0,0,0.34741860459685614,5.3471075307174685
"24 LEINSTER WOOD SOUTH, CARTON DEMESNE, MAYNOOTH",Kildare,0,0,181,700.0,2016,4,0,0,32.744287990411955,6.551080335043404
"18 CUL AN ATH, BARNA, GALWAY",Galway,0,0,182,285.0,2016,2,0,0,6.522937865062841,5.652489180268651
"5 MILLBROOK COURT, MILL RD, MIDLETON",Cork,0,0,183,200.0,2016,2,0,0,20.32830098260768,5.298317366548036
"70 CURRAGH WOODS, FRANKFIELD, CORK",Cork,0,0,184,290.0,2016,2,0,0,3.700393684981692,5.66988092298052
"2 THE MAPLES, BETTYSTOWN, MEATH",Meath,0,0,185,280.0,2016,2,0,0,28.313671630339556,5.634789603169249
"9 MEADOW PARK, MONAMOLIN, GOREY",Wexford,0,0,187,135.0,2016,3,0,0,25.48222535192518,4.90527477843843
"APARTMENT 13, NEPTUNE HOUSE, CANADA SQUARE",Waterford,0,0,188,82.5,2016,2,0,0,0.1652789234369528,4.412798293340635
"43 TERENURE PARK, TERENURE, DUBLIN 6W",Dublin,0,0,191,335.0,2016,2,0,0,4.673964931584041,5.814130531825066
"37 KINVARA AVE, BALLYVOLANE, CORK",Cork,0,0,192,263.0,2016,4,0,0,3.0559405468338916,5.572154032177765
"1 Olive Crescent, Fruithill Manor, Graiguecullen",Laois,0,1,193,127.75,2016,4,0,1,7.741995117891213,4.850075229083814
"APT 8, LINDEN COURT, LINDEN GROVE AVE BLACKROCK",Dublin,0,0,194,90.0,2016,3,0,0,2.0096305578111666,4.499809670330265
"38 BALLYGOSSAN PARK, THE LINKS, SKERRIES",Dublin,0,1,195,277.53,2016,4,0,1,2.0096305578111666,5.625929035451337
"3 THE BRAMBLES, HUNTSFIELD, DOORADOYLE",Limerick,0,0,196,210.0,2016,2,0,0,3.5069968019556192,5.3471075307174685
"80 GANDON HALL, LOWER GARDINER ST, DUBLIN 1",Dublin,0,0,197,144.0,2016,4,0,0,2.0096305578111666,4.969813299576001
"2 CORBAWN COURT, SHANKILL, DUBLIN",Dublin,0,0,198,522.0,2016,3,0,0,16.061318164209258,6.257667587882639
"26 WELLESLEY MANOR, NEWBRIDGE, KILDARE",Kildare,0,0,199,249.95,2016,3,0,0,8.795461957837366,5.521260897859579
"77 Quignalecka, Sligo Road, Ballina",Mayo,0,1,200,136.56,2016,1,0,1,30.336874368917407,4.916764078486185
"27 Drury Mills, Saggart, County Dublin",Dublin,0,1,201,264.32,2016,3,0,1,14.830755374469407,5.577160490332613
"15 NEW ROW PLACE, NEW ROW SOUTH, DUBLIN 2",Dublin,0,0,202,180.0,2016,3,0,0,2.0096305578111666,5.19295685089021
"124 FURRY PARK RD, KILLESTER, DUBLIN 5",Dublin,0,0,203,425.0,2016,1,0,0,4.96294633899673,6.052089168924417
"11 Lisheen Woods, Ovens, Co. Cork",Cork,0,1,204,345.81,2016,4,0,1,10.503645742769729,5.845889491281031
"18 Grange Park, Baldoyle",Dublin,0,0,205,340.0,2016,1,0,0,9.565006130991701,5.8289456176102075
"7 THE AVENUE, CYPRESS DOWNS, TEMPLEOGUE DUBLIN 6W",Dublin,0,0,206,485.0,2016,4,0,0,6.549198470345958,6.184148890937483
"247 Beechpark, Leixlip",Kildare,0,1,207,273.13,2016,4,0,1,35.87259741184723,5.609947872318446
"102 CLUAIN DARA, CLONARD, WEXFORD",Wexford,1,0,208,145.0,2016,3,0,0,0.49743925958807517,4.976733742420574
"65 COLLEGE PARK, NEWBRIDGE, KILDARE",Kildare,0,0,210,166.67,2016,1,0,0,7.967409668623473,5.116015809554085
"16 Sundayswell, Bracken Park, Carpenterstown Road",Dublin,0,1,211,286.34,2016,4,0,1,2.0096305578111666,5.657179915932181
"OAK LODGE, GARRETTSTOWN, KINSALE",Cork,0,0,212,295.0,2016,4,0,0,21.571817330762975,5.68697535633982
"APT 1 BLOCK 4, ROCKSHIRE HOUSE, FERRYBANK",Kilkenny,0,0,213,62.0,2016,3,0,0,44.311602085078306,4.127134385045092
"10 GLENBROOK, OLD SINGLAND RD, LIMERICK",Limerick,0,0,214,175.0,2016,3,0,0,0.26593756967240056,5.1647859739235145
"25 OLAF RD, DUBLIN 7, DUBLIN",Dublin,0,0,215,179.5,2016,1,0,0,1.6087280919659173,5.190175207928333
"11 Gort na Duin, Oranhill, Oranmore",Galway,0,1,216,237.0,2016,1,0,1,9.101057290660652,5.4680601411351315
"29 SEAMOUNT, SALTHILL, GALWAY",Galway,0,0,217,750.0,2016,2,0,0,0.5437668292500759,6.620073206530356
"3C CHERRYDALE COURT, DUBLIN RD, LIMERICK",Limerick,0,0,219,70.0,2016,1,0,0,0.26593756967240056,4.248495242049359
"1A BEECH HILL AVE, DONNYBROOK, DUBLIN 4",Dublin,0,0,220,435.0,2016,4,0,0,2.0096305578111666,6.075346031088684
