Address,County,Not Full Market Price,VAT Exclusive,row_id,"Price(1,000 €)",year,quarter,year_norm,is_new_property
"THE TURRETS, CHARLEVILLE, CORK",Cork,0,0,164,140.0,2016,2,0,0
"28 ARD CARRAIG, SKIBBEREEN, CORK",Cork,0,0,165,145.0,2016,4,0,0
"26 CASHEL COURT, KNOCKNACARRA RD, SALTHILL",Galway,0,0,166,206.0,2016,4,0,0
"6 THE BRAMBLES, HUNTSFIELD, DOORADOYLE",Limerick,0,0,167,178.5,2016,3,0,0
"Apartment 45 Castlegrange Park, Castaheaney, Castleknock",Dublin,0,0,168,160.0,2016,1,0,0
"82 CLEARSTREAM COURT MCKEE AVE, FINGLAS DUBLIN 1, DUBLIN",Dublin,0,0,169,222.5,2016,3,0,0
"54 SANDYFORD VIEW, SANDYFORD, DUBLIN 18",Dublin,0,0,170,300.0,2016,4,0,0
"GAULTRIMSLAND, RIVERSTOWN, DUNDALK",Louth,0,0,171,243.37,2016,2,0,0
"138 ARDLEIGH VALE, MULLINGAR, WESTMEATH",Westmeath,0,0,172,132.0,2016,2,0,0
"23 HARBOURSIDE, KINCORA HARBOUR, KILLALOE",Clare,0,0,173,214.0,2016,3,0,0
"48 The Meadows, Tir Cluain, Knockgriffin",Cork,0,1,174,150.66,2016,2,0,1
"83 SHANAGARRY APTS, MILLTOWN, DUBLIN 6",Dublin,0,0,175,325.0,2016,1,0,0
"24 BEECHFIELD WAY, CASTAHEANY, DUBLIN 15",Dublin,0,0,177,235.0,2016,2,0,0
"BALLYDERMODY, FENOR, WATERFORD",Waterford,0,0,178,210.0,2016,4,0,0
"28 BRIDGE STREET, CARRICK ON SUIR, COUNTY TIPPERARY",Tipperary,0,0,179,70.0,2016,2,0,0
"57 KILREENDOWNEY AVE, BALLYPHEHANE, CORK",Cork,0,0,180,210.0,2016,4,0,0
"24 LEINSTER WOOD SOUTH, CARTON DEMESNE, MAYNOOTH",Kildare,0,0,181,700.0,2016,4,0,0
"18 CUL AN ATH, BARNA, GALWAY",Galway,0,0,182,285.0,2016,2,0,0
"5 MILLBROOK COURT, MILL RD, MIDLETON",Cork,0,0,183,200.0,2016,2,0,0
"70 CURRAGH WOODS, FRANKFIELD, CORK",Cork,0,0,184,290.0,2016,2,0,0
"2 THE MAPLES, BETTYSTOWN, MEATH",Meath,0,0,185,280.0,2016,2,0,0
"9 MEADOW PARK, MONAMOLIN, GOREY",Wexford,0,0,187,135.0,2016,3,0,0
"APARTMENT 13, NEPTUNE HOUSE, CANADA SQUARE",Waterford,0,0,188,82.5,2016,2,0,0
"43 TERENURE PARK, TERENURE, DUBLIN 6W",Dublin,0,0,191,335.0,2016,2,0,0
"37 KINVARA AVE, BALLYVOLANE, CORK",Cork,0,0,192,263.0,2016,4,0,0
"1 Olive Crescent, Fruithill Manor, Graiguecullen",Laois,0,1,193,127.75,2016,4,0,1
"APT 8, LINDEN COURT, LINDEN GROVE AVE BLACKROCK",Dublin,0,0,194,90.0,2016,3,0,0
"38 BALLYGOSSAN PARK, THE LINKS, SKERRIES",Dublin,0,1,195,277.53,2016,4,0,1
"3 THE BRAMBLES, HUNTSFIELD, DOORADOYLE",Limerick,0,0,196,210.0,2016,2,0,0
"80 GANDON HALL, LOWER GARDINER ST, DUBLIN 1",Dublin,0,0,197,144.0,2016,4,0,0
"2 CORBAWN COURT, SHANKILL, DUBLIN",Dublin,0,0,198,522.0,2016,3,0,0
"26 WELLESLEY MANOR, NEWBRIDGE, KILDARE",Kildare,0,0,199,249.95,2016,3,0,0
"77 Quignalecka, Sligo Road, Ballina",Mayo,0,1,200,136.56,2016,1,0,1
"27 Drury Mills, Saggart, County Dublin",Dublin,0,1,201,264.32,2016,3,0,1
"15 NEW ROW PLACE, NEW ROW SOUTH, DUBLIN 2",Dublin,0,0,202,180.0,2016,3,0,0
"124 FURRY PARK RD, KILLESTER, DUBLIN 5",Dublin,0,0,203,425.0,2016,1,0,0
"11 Lisheen Woods, Ovens, Co. Cork",Cork,0,1,204,345.81,2016,4,0,1
"18 Grange Park, Baldoyle",Dublin,0,0,205,340.0,2016,1,0,0
"7 THE AVENUE, CYPRESS DOWNS, TEMPLEOGUE DUBLIN 6W",Dublin,0,0,206,485.0,2016,4,0,0
"247 Beechpark, Leixlip",Kildare,0,1,207,273.13,2016,4,0,1
"102 CLUAIN DARA, CLONARD, WEXFORD",Wexford,1,0,208,145.0,2016,3,0,0
"65 COLLEGE PARK, NEWBRIDGE, KILDARE",Kildare,0,0,210,166.67,2016,1,0,0
"16 Sundayswell, Bracken Park, Carpenterstown Road",Dublin,0,1,211,286.34,2016,4,0,1
"OAK LODGE, GARRETTSTOWN, KINSALE",Cork,0,0,212,295.0,2016,4,0,0
"APT 1 BLOCK 4, ROCKSHIRE HOUSE, FERRYBANK",Kilkenny,0,0,213,62.0,2016,3,0,0
"10 GLENBROOK, OLD SINGLAND RD, LIMERICK",Limerick,0,0,214,175.0,2016,3,0,0
"25 OLAF RD, DUBLIN 7, DUBLIN",Dublin,0,0,215,179.5,2016,1,0,0
"11 Gort na Duin, Oranhill, Oranmore",Galway,0,1,216,237.0,2016,1,0,1
"29 SEAMOUNT, SALTHILL, GALWAY",Galway,0,0,217,750.0,2016,2,0,0
"3C CHERRYDALE COURT, DUBLIN RD, LIMERICK",Limerick,0,0,219,70.0,2016,1,0,0
"1A BEECH HILL AVE, DONNYBROOK, DUBLIN 4",Dublin,0,0,220,435.0,2016,4,0,0
"29 LABURNAM DR, TERMON ABBEY, DROGHEDA",Louth,0,0,221,160.0,2016,3,0,0
"111 Seabury Lawns, Mornington",Meath,0,1,222,214.0,2016,2,0,1
"BAHAGHS, CAHERSIVEEN, CO KERRY",Kerry,0,0,224,250.0,2016,1,0,0
"IVY COTTAGE, MAIN ST, RINGASKIDDY",Cork,0,0,225,150.0,2016,2,0,0
"4 RAILWAY LANE, ATHBOY, MEATH",Meath,0,0,226,192.0,2016,4,0,0
"KILAWALLA, WESTPORT, MAYO",Mayo,0,0,227,140.0,2016,1,0,0
"44 BALREASK MANOR, TRIM RD, NAVAN",Meath,0,0,228,318.0,2016,3,0,0
"16 CASTLEVIEW, ARDFINNAN, CLONMEL",Tipperary,0,0,229,92.5,2016,4,0,0
"2 GLANDORE MEWS, GLANDORE, CO. CORK",Cork,0,0,230,151.0,2016,3,0,0
"59 MORANS TERRACE, DROGHEDA, LOUTH",Louth,0,0,231,120.0,2016,1,0,0
"5 LINDEN PLACE, GROVE AVE, BLACKROCK",Dublin,0,0,232,692.0,2016,4,0,0
"62 HORIZON, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin,0,0,233,158.59,2016,2,0,0
"NEWRATH, RATHNEW, CO WICKLOW",Wicklow,0,0,234,350.0,2016,2,0,0
"CLODAGH, DRIMOLEAGUE, WEST CORK",Cork,0,0,235,196.0,2016,4,0,0
"51 THE OAKS, LISCREAGH, MURROE",Limerick,0,0,236,115.0,2016,1,0,0
"3 PARK COURT, GRANGERATH, DROGHEDA",Meath,0,0,237,368.0,2016,2,0,0
"2 LINDSAY RD, GLASNEVIN, DUBLIN 9",Dublin,0,0,238,760.0,2016,4,0,0
"DERRARTAN, ISLANDEADY, CASTLEBAR",Mayo,0,0,239,211.0,2016,3,0,0
"48 ATLANTIC COAST, TRAMORE, WATERFORD",Waterford,0,0,240,75.0,2016,1,0,0
"17 MOUNT AUBURN, BRYANSTOWN, DUBLIN RD",Louth,0,0,241,413.5,2016,3,0,0
"20 COOLCOTTS COURT, COOLCOTTS, WEXFORD",Wexford,0,0,243,190.0,2016,4,0,0
"250 Oldbridge Station, Oberstown, Naas",Kildare,0,1,244,255.46,2016,3,0,1
"39 LIOS NA SI, PORTUMNA",Galway,0,1,245,115.0,2016,1,0,1
"86The Paddocks Drive West, Lucan",Dublin,0,1,246,255.51,2016,2,0,1
"51 FOUNTAIN HILL, MELL, DROGHEDA",Louth,0,0,247,191.0,2016,3,0,0
"LORETO, CLARA ROAD, TULLAMORE",Offaly,0,0,248,140.0,2016,2,0,0
"12 CALDERWOOD RD, DRUMCONDRA, DUBLIN",Dublin,0,0,249,810.0,2016,2,0,0
"DEERPARK LODGE, BUNRATTY, SIXMILEBRIDGE",Clare,0,0,250,325.0,2016,4,0,0
"127 SMITHFIELD MARKET, SMITHFIELD, DUBLIN 7",Dublin,0,0,251,521.6,2016,4,0,0
"33 CARLINN HALL, MULLAHARLIN ROAD, DUNDALK",Louth,0,1,252,264.32,2016,2,0,1
"66 GLOUCHESTER SQ, RAILWAY ST, DUBLIN",Dublin,0,0,253,215.0,2016,4,0,0
"ALANWOOD SOUTH, NAAS, KILDARE",Kildare,0,0,254,275.0,2016,3,0,0
"LEWISTOWN, NAAS, CO. KILDARE",Kildare,0,0,255,315.0,2016,1,0,0
"36 CAHERNANE MEADOWS, MUCKROSS RD, KILLARNEY",Kerry,0,0,256,240.0,2016,2,0,0
"10 HIGH ST, BALLYRAGGET, KILKENNY",Kilkenny,1,0,257,145.0,2016,3,0,0
"25 Thorndale, Delgany, Wicklow",Wicklow,0,1,259,418.5,2016,4,0,1
"24 CHARNWOOD GREEN, CLONSILLA, DUBLIN 15",Dublin,0,0,260,395.0,2016,4,0,0
"LISTHOMASROE, BALLINTUBBER, CASTLEREA",Roscommon,0,0,261,70.0,2016,3,0,0
"37 CHARLESTON RD, RANELAGH, DUBLIN 6",Dublin,0,0,262,675.0,2016,2,0,0
"NEWTOWN TINAHEALY, WICKLOW",Wicklow,0,0,263,150.0,2016,2,0,0
"HILLCREST, MILFORD, DONEGAL",Donegal,0,0,264,135.0,2016,3,0,0
"KNOCKNABOLA, FOYNES, CO LIMERICK",Limerick,0,0,265,110.0,2016,1,0,0
"94 FOXFIELD, CARRICKMACROSS, MONAGHAN",Monaghan,0,0,266,120.0,2016,1,0,0
"TROMATY, QUIGLEYS POINT, LIFFORD",Donegal,0,0,267,150.0,2016,3,0,0
"EAST VIEW, PALLAS HILL, DROMBANE",Tipperary,0,0,268,75.0,2016,3,0,0
"B6 30 GROSVENOR SQ, RATHMINES, DUBLIN 6",Dublin,0,0,269,105.0,2016,2,0,0
"11 CHESTERFIELD CLOSE, CASTLEKNOCK, DUBLIN 15",Dublin,0,0,270,860.0,2016,3,0,0
"APARTMENT 329 MALAHIDE MARINA, MALAHIDE, DUBILN",Dublin,0,0,271,410.0,2016,2,0,0
"RATHMORE BALLINCARROW, SLIGO",Sligo,0,0,272,255.0,2016,1,0,0
"SANTORINI, 15 STRAND RD, PORTMARNOCK",Dublin,0,0,273,602.0,2016,3,0,0
"42 PRIORY LODGE, SHEETLAND ROAD, TERMONFECKIN",Louth,0,0,274,145.0,2016,3,0,0
"43 ABBEY RD, MONKSTOWN, DUBLIN",Dublin,0,0,275,430.0,2016,3,0,0
"4 Cuilin, Roundstone",Galway,0,1,276,330.4,2016,2,0,1
"BALLINTOMBAY, GREENANE, RATHDRUM",Wicklow,0,0,277,105.0,2016,3,0,0
"19 CHESTERFIELD GROVE, CASTLETROY VIEW, LIMERICK",Limerick,0,0,278,148.0,2016,3,0,0
"6 MAPLE CT, RAKEEVAN, BAILIEBOROUGH",Cavan,0,0,279,70.0,2016,1,0,0
"135 The Links, Elm Park, Merrion Road",Dublin,0,0,281,167.12,2016,1,0,0
"39 CHURCH VIEW, BASTION COURT, CONNAUGHT ST",Westmeath,0,0,282,67.0,2016,4,0,0
"CLUAIN ARD, BALLYKNOCKANE, MOURNE ABBEY MALLOW",Cork,0,0,283,375.0,2016,4,0,0
"6 CHRISTENDOM MEWS, FERRYBANK, WATERFORD",Kilkenny,0,0,284,86.0,2016,4,0,0
"43 QUARRYVALE, MOUNTHAWK, TRALEE",Kerry,0,0,285,137.5,2016,2,0,0
"20 THE ESTUARY, INNISCRONE, SLIGO",Sligo,0,0,286,103.5,2016,3,0,0
"CHAPEL ST, TALLOW, WATERFORD",Waterford,0,0,287,72.0,2016,4,0,0
"2 RYEBRIDGE AVENUE, KILCOCK",Kildare,0,1,288,246.7,2016,2,0,1
