Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,VAT Exclusive,Description of Property,Property Size Description,lat,lng
26/03/2021,"3 OLD FARM, CARPENTERSTOWN, CASTLEKNOCK DUBLIN 15",Dublin,,300000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
27/08/2021,"42 MOANBANE PARK, KILCULLEN, KILDARE",Kildare,R56H022,275000,No,No,0,Second-Hand Dwelling house /Apartment,,53.1396811,-6.7356669
10/5/2021,"3 WILLOWWOOD VIEW, CLONSILLA, DUBLIN 15",Dublin,D15W60H,300000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/04/2021,"4 BEECH LAWN, DUNDRUM, DUBLIN 16",Dublin,D16XE48,605000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2854318,-6.2569256
23/02/2021,"2 BEECHLAWNS, JOHNSWELL RD, KILKENNY",Kilkenny,,270000,No,No,0,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
5/11/2021,"37 CROZON PARK, SLIGO, SLIGO",Sligo,F91YWF9,265000,No,No,0,Second-Hand Dwelling house /Apartment,,54.2624297,-8.4715138
14/10/2021,"9 GRANITE TERRACE, INCHICORE, DUBLIN 8",Dublin,D08YX5X,505000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3395271,-6.3231339
15/01/2021,"BANNONS CROSS, LOUTH VILLAGE, DUNDALK",Louth,,200000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
22/12/2021,"MUNTERMELLON, HORNHEAD, DUNFANAGHY",Donegal,,350000,No,No,0,Second-Hand Dwelling house /Apartment,,55.18333,-7.96667
9/8/2021,"9 CASTLEKNOCK AVENUE, BANESHANE, MIDDLETON",Cork,P25VW40,310000,No,No,0,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
25/03/2021,"CARRICKNAGORE, BRUCKLESS, CO. DONEGAL",Donegal,,360000,No,No,0,Second-Hand Dwelling house /Apartment,,54.63639,-8.38333
27/07/2021,"No 8 An Gairdin Cuil, Cosmona, Loughrea",Galway,,246700,No,Yes,1,New Dwelling house /Apartment,,53.19694,-8.56694
9/2/2021,"4 THE ROCKS, STONEPARK, BALLYMACORMACK",Longford,,220000,No,No,0,Second-Hand Dwelling house /Apartment,,53.72536,-7.79823
10/5/2021,"15 CASTLEVIEW ROW, SWORDS, DUBLIN",Dublin,K67W272,360000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4708298,-6.2371911
9/4/2021,"AHERINA, KILMORE, CLARE",Clare,,150000,No,No,0,Second-Hand Dwelling house /Apartment,,52.75722,-8.60167
1/12/2021,"77 Barnwell Park, Clonsilla, Hansfield",Dublin,,325990,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
29/11/2021,"10 ARBUTUS, MONTENOTTE, CORK",Cork,,649780,No,Yes,1,New Dwelling house /Apartment,,51.89797,-8.47061
20/08/2021,"85 SAILIN, DUBLIN RD, GALWAY",Galway,H91DW9T,306000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
4/11/2021,"9 THE WOOD, OLDBRIDGE MANOR, RATHMULLAN",Louth,,290750,No,Yes,1,New Dwelling house /Apartment,,53.94861,-6.54139
18/10/2021,"10 The Crescent, Ruxton Oaks, Navan",Meath,,277530,No,Yes,1,New Dwelling house /Apartment,,53.65278,-6.68139
21/12/2021,"NO.1 THE WELLNESS CENTRE, GORTAMULLEN, KENMARE",Kerry,V93TX45,350000,No,No,0,Second-Hand Dwelling house /Apartment,,51.88333,-9.58333
27/09/2021,"110 Drakes Point, Crosshaven",Cork,,414100,No,Yes,1,New Dwelling house /Apartment,,51.79833,-8.30083
20/04/2021,"7 AN SRAID BHAILE, BWEENG, MALLOW",Cork,,190000,No,No,0,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
9/9/2021,"MOUNTLUCAS, DAINGEAN, OFFALY",Offaly,,180000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.29611,-7.28944
21/10/2021,"126 CHERRY AVE, SWORDS, DUBLIN",Dublin,K67T256,264000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4494535,-6.2352657
15/03/2021,"126 BALLYROAN, RD, DUBLIN 16",Dublin,,580000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2913552,-6.3078733
19/07/2021,"6 Walker Row, Parkside, Balgriffin",Dublin,,343610,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
1/12/2021,"90 CARRIG COURT, FORTUNESTOWN LANE, SAGGART",Dublin,D24HD62,255000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/09/2021,"29 GRAND CANAL COURT, TULLAMORE, OFFALY",Offaly,R35R9T8,170000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2781415,-7.4785447
19/11/2021,"BARNAMUINGA, SHILLELAGH, WICKLOW",Wicklow,Y14XT96,399000,No,No,0,Second-Hand Dwelling house /Apartment,,52.7447708,-6.5805884
20/05/2021,"2 OAK LAWN, CASTLEKNOCK, DUBLIN 15",Dublin,D15FK6K,950000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3760792,-6.364763
4/2/2021,"39 WATERMINT COURT, PELLETSTOWN AVE, ROYAL CANAL PARK DUBLIN 15",Dublin,,210000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/04/2021,"46 SLI GHEAL, BALLYMONEEN RD, KNOCKNACARRA",Galway,H91H22W,295000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
22/04/2021,"148 THE ELMS, MOUNT MERRION AVE, BLACKROCK",Dublin,A94R2N7,380000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/12/2021,"WEAVERS COTTAGE, BALTYBOYS, BLESSINGTON",Wicklow,W91WC92,740000,No,No,0,Second-Hand Dwelling house /Apartment,,53.17,-6.5325
20/04/2021,"APT 18 BOWERS VIEW, BALLINROBE, CO MAYO",Mayo,,120000,No,No,0,Second-Hand Dwelling house /Apartment,,53.63333,-9.23333
1/7/2021,"39 WOODLANDS PARK, RATOATH, MEATH",Meath,A85HX92,368000,No,No,0,Second-Hand Dwelling house /Apartment,,53.5076676,-6.4689028
12/2/2021,"38 THE GREEN, DUNBOYNE CASTLE, DUNBOYNE",Meath,,325000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4,-6.46667
22/07/2021,"19 TAMARISK LAWNS, KILNAMANAOH, DUBLIN 24",Dublin,D24XFW3,273700,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/06/2021,"4 HURDLESTOWN MEADOWS, BROADFORD, CLARE",Clare,V94X4EN,320000,No,No,0,Second-Hand Dwelling house /Apartment,,52.80472,-8.63222
9/4/2021,"BALLINAHONE, FAHAN, LIFFORD",Donegal,,140000,No,No,0,Second-Hand Dwelling house /Apartment,,54.83194,-7.48361
31/12/2021,"32 THE ORCHARDS, KINSALE, CORK",Cork,P17N129,290000,No,No,0,Second-Hand Dwelling house /Apartment,,51.7021046,-8.5295573
25/06/2021,"14 POWERSCOURT, EYRE ST, NEWBRIDGE",Kildare,W12K854,172000,No,No,0,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
1/10/2021,"5 HAZELWOOD CLOSE, FOXWOOD, WATERFORD",Waterford,,229030,No,Yes,1,New Dwelling house /Apartment,,52.2326708,-7.1360926
13/09/2021,"22 TULLYVARRAGA CRESENT, SHANNON, CLARE",Clare,V14FV04,255000,No,No,0,Second-Hand Dwelling house /Apartment,,52.70389,-8.86417
14/06/2021,"RUSHAUN, KILNAMONA, ENNIS",Clare,,100000,Yes,No,0,Second-Hand Dwelling house /Apartment,,52.858399,-9.1021512
27/07/2021,"25 Loughcrew Hills, Oldcastle",Meath,,220260,No,Yes,1,New Dwelling house /Apartment,,53.7689423,-7.1681766
10/11/2021,"APT 601 CUBE 3, BEACON SOUTH QUARTER, SANDYFORD",Dublin,D18T634,280000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
1/10/2021,"82 TONLEGEE RD, RAHENY, DUBLIN 5",Dublin,D05T6Y8,500000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/12/2021,"50 PINE COPSE RD, WYCKHAM PARK, DUNDRUM DUBLIN 16",Dublin,D16FX29,742500,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/06/2021,"ABBEY HOUSE, SMITHS RD, CHARLEVILLE",Cork,,242500,No,No,0,Second-Hand Dwelling house /Apartment,,52.35,-8.68333
30/07/2021,"CUAN OIR, ROGERSTOWN, RUSH",Dublin,K56NT98,670000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/01/2021,"14 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN",Dublin,,233480,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
10/12/2021,"APT 17, CEDAR HALL MILLBROOK, MILLTOWN DUBLIN 6",Dublin,D06C956,460000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/07/2021,"3 MELLOWES CRESCENT, FINGLAS, DUBLIN 11",Dublin,D11A4A4,190000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3889553,-6.3041473
17/12/2021,"11 CHURCHFIELD, ST PATRICKS RD, LIMERICK CITY",Limerick,V94A4AA,208000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
9/7/2021,"41 The Meadows, Castle Farm, Dunboyne",Meath,,317180,No,Yes,1,New Dwelling house /Apartment,,53.4,-6.46667
18/08/2021,"140 CITY PARK, FORTUNESTOWN LANE, CITYWEST DUBLIN 24",Dublin,,250000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/01/2021,"44 MOUNT SANDFORD, MILLTOWN, SANDFORD DUBLIN 6",Dublin,,660000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
5/8/2021,"CROSSABEAGH, KNOCKBRIDGE, DUNDALK",Louth,,325000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
11/3/2021,"19 PUNCHESTOWN GATE, BRABAZON HOUSE, NAAS",Kildare,,187500,No,No,0,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
5/2/2021,"6 MERTON, SEA RAOD, ARKLOW",Wicklow,,237000,Yes,No,0,Second-Hand Dwelling house /Apartment,,52.79306,-6.14139
3/8/2021,"7 Wilmount View, Moynalty Road, Kells",Meath,,96920,No,Yes,1,New Dwelling house /Apartment,,53.72639,-6.87917
11/11/2021,"52 BARTER'S WOOD, TOWER, BLARNEY",Cork,,308370,No,Yes,1,New Dwelling house /Apartment,,51.9296489,-8.594794
3/8/2021,"122 BRAYTON PARK, KILCOCK, CO KILDARE",Kildare,W23E292,321500,No,No,0,Second-Hand Dwelling house /Apartment,,53.4014002,-6.6760194
23/04/2021,"14 BLOSSOM COURT, ESKER HILLS, PORTLAOISE",Laois,R32NWV9,164000,No,No,0,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
30/06/2021,"3 WOODFORD CRESCENT, CLONDALKIN, DUBLIN 22",Dublin,D22EW93,335000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3253818,-6.3802919
17/11/2021,"09 MOYGLARE HEATH, MARIAVILLA, MAYNOOTH",Kildare,W23WFP8,248420,No,Yes,1,New Dwelling house /Apartment,,53.389509,-6.5898941
21/05/2021,"27 LAUREL DRIVE, ESKER HILLS, PORTLAOISE",Laois,R32VW86,147000,No,No,0,Second-Hand Dwelling house /Apartment,,53.0432152,-7.2981532
14/07/2021,"COOLEENEY, MOYNE, THURLES",Tipperary,,191000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
17/08/2021,"90 BALLINTYRE GROVE, BALLINTEER AVE, DUBLIN 16",Dublin,D16V0T9,525000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/07/2021,"WILLOW HOUSE, ISLAND, RYFIELD",Cavan,,320000,No,No,0,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
26/03/2021,"42 CLONUSKE RISE, HAMLET LANE, BALBRIGGAN",Dublin,,163000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/05/2021,"7 RECTORY MEWS, DUNCORMICK, WEXFORD",Wexford,Y35DC61,202500,No,No,0,Second-Hand Dwelling house /Apartment,,52.2280414,-6.6519789
31/03/2021,"5 CEOL NA MARA, CLIFFONEY, SLIGO",Sligo,,225000,No,No,0,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
7/1/2021,"SEICEAMAIR, COOLROE, BALLINCOLLIG",Cork,,425000,No,No,0,Second-Hand Dwelling house /Apartment,,51.88333,-8.58333
20/12/2021,"11 The Downs, Barnhall Meadows, Leixlip",Kildare,,270000,Yes,Yes,1,New Dwelling house /Apartment,,53.3606452,-6.5146626
5/3/2021,"11 MOUNTAIN PARK, COOLANEY, CO SLIGO",Sligo,,155000,No,No,0,Second-Hand Dwelling house /Apartment,,54.17806,-8.59972
15/07/2021,"4 MOUNTAIN VIEW, BREENY BEG, KEALKILL",Cork,P75VP64,180000,No,No,0,Second-Hand Dwelling house /Apartment,,51.75722,-9.39917
3/8/2021,"14 THE MEADOWS, ROS MOR, KILMALLOCK ROAD",Limerick,V944H24,266000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
20/07/2021,"1 Clay Farm Grove, Clay Farm, Leopardstown",Dublin,,440530,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
3/12/2021,"GALLOWS HILL, LEAP, CO CORK",Cork,,98000,No,No,0,Second-Hand Dwelling house /Apartment,,51.5925,-9.13
1/12/2021,"TULLIGMORE, COACHFORD, CORK",Cork,P12YY32,150000,No,No,0,Second-Hand Dwelling house /Apartment,,51.9,-8.78333
23/06/2021,"2 BAWNOGUES, BALTINGLASS, WICKLOW",Wicklow,,190000,No,No,0,Second-Hand Dwelling house /Apartment,,52.93722,-6.70917
16/04/2021,"AGGARD, CRAUGHWELL, GALWAY",Galway,,245000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2271754,-8.7363661
24/11/2021,"93 MARSH ROAD, DROGHEDA, COUNTY LOUTH",Louth,A92E8PT,130000,No,No,0,Second-Hand Dwelling house /Apartment,,53.7144086,-6.3395215
19/11/2021,"105 Beaulieu Village, Termonfeckin Road, Drogheda",Louth,,231000,No,Yes,1,New Dwelling house /Apartment,,53.71889,-6.34778
16/06/2021,"RATHBRIST, TALLANSTOWN, DUNDALK",Louth,,312000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
2/11/2021,"23 Longstone, Blessington Road, Craddockstown",Kildare,,389870,No,Yes,1,New Dwelling house /Apartment,,53.15611,-6.91444
19/10/2021,"12 BEECH SQUARE, LACKEN WOOD, WATERFORD",Waterford,X91X4TD,142120,Yes,No,0,Second-Hand Dwelling house /Apartment,,52.2401575,-7.1289212
27/08/2021,"LEAFY LANE HOUSE, PENANE, LOUGHMORE",Tipperary,E41VH75,297000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
5/11/2021,"7 ST MOCHTAS GREEN, CLONSILLA, DUBLIN 15",Dublin,D15AD9D,380000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/12/2021,"14 Carrigvale, Kilanerin, Gorey",Wexford,,277530,No,Yes,1,New Dwelling house /Apartment,,52.67472,-6.2925
21/01/2021,"83 An Saileachan, Raheen, Athenry",Galway,,264320,No,Yes,1,New Dwelling house /Apartment,,53.29639,-8.74306
17/08/2021,"SEASCANN AN ROIN, AN CLOCHAN LIATH, CO. DHUN NA NGALL",Donegal,F94XF24,180000,No,No,0,Second-Hand Dwelling house /Apartment,,54.9734285,-8.3562199
22/12/2021,"ST MARYS RECTORY, MOHILL, CO LEITRIM",Leitrim,,155000,No,No,0,Second-Hand Dwelling house /Apartment,,53.91667,-7.86667
22/07/2021,"44C MOATVIEW GDNS, PRIORSWOOD, COOLOCK DUBLIN 17",Dublin,D17AX86,152000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/11/2021,"9 RIVERSDALE, ATHY, CO KILDARE",Kildare,R14HK02,125000,No,No,0,Second-Hand Dwelling house /Apartment,,52.9906652,-6.9885008
9/12/2021,"33 OAK PARK GROVE, CRADDOCKSTOWN, NAAS",Kildare,W91C2CP,222840,No,Yes,1,New Dwelling house /Apartment,,53.21583,-6.66694
4/3/2021,"10 KELLETTS ROAD, LAGORE ROAD, DUNSHAUGHLIN",Meath,,390000,No,No,0,Second-Hand Dwelling house /Apartment,,53.5125,-6.54
5/7/2021,"24 BELMONT DRIVE, BELMONT AIKENS VILLAGE, STEPASIDE",Dublin,D18FNK4,557000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/7/2021,"13 TYMON NORTH GARDENS, TALLAGHT, DUBLIN 24",Dublin,D24P7RW,315000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2941654,-6.3434531
9/2/2021,"6 PARK AVENUE, PHELIM WOOD, TULLOW",Carlow,,150000,No,No,0,Second-Hand Dwelling house /Apartment,,52.80028,-6.73694
15/06/2021,"15 SEABROOK, DROMISKIN, LOUTH",Louth,A91CK10,415000,No,No,0,Second-Hand Dwelling house /Apartment,,53.9256839,-6.4002702
6/12/2021,"2 KILEELY VILLAS NEW RD, THOMONDGATE, LIMERICK",Limerick,V94F5YY,180000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
8/4/2021,"95 THE WALK, OLDBRIDGE, OSBERSTOWN",Kildare,,230300,No,No,0,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
28/10/2021,"21 ARDLEIGH CRESCENT, ATHLONE RD, MULLINGAR",Westmeath,N91P0K7,235000,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
2/2/2021,"288 SYCAMORES PARK, EDENDERRY, CO OFFALY",Offaly,,163000,No,No,0,Second-Hand Dwelling house /Apartment,,53.34528,-7.04972
8/7/2021,"25 RIVER LANE, ROCHFORD MANOR, TRIM",Meath,C15WK30,210000,No,No,0,Second-Hand Dwelling house /Apartment,,53.555,-6.79167
22/04/2021,"20 NEWLANDS MANOR PARK, CLONDALKIN, DUBLIN 22",Dublin,D22Y6C2,226000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3094718,-6.4075365
27/05/2021,"21 BALLYCASEY CRESCENT, BALLYCASEY, SHANNON",Clare,V14NT92,149000,No,No,0,Second-Hand Dwelling house /Apartment,,52.70389,-8.86417
20/08/2021,"71 HILLCREST DR, LUCAN, CO DUBLIN",Dublin,K78K8P9,326000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3511862,-6.4531926
10/12/2021,"13 DE LA SALLE CRESCENT, ARDEE, LOUTH",Louth,A92NY52,155000,No,No,0,Second-Hand Dwelling house /Apartment,,53.85972,-6.54056
13/01/2021,"24 TIRELLAN, HEADFORD RD, GALWAY",Galway,,257500,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
13/12/2021,"6 The Lawn, Ledwill Park, Kilcock",Kildare,,427310,No,Yes,1,New Dwelling house /Apartment,,53.3932214,-6.6621151
8/3/2021,"195 COLLINS AVE, BEAUMONT, DUBLIN 9",Dublin,,611000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3784322,-6.2311781
18/11/2021,"48 DUN NA CARRAIGE, BLACKROCK, SALTHILL",Galway,H91X088,410000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
29/09/2021,"108 SNOWDROP WALK, DARNDALE, DUBLIN 17",Dublin,D17T202,156000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4010434,-6.189047
9/12/2021,"THE LANDLORDS APARTMENT, GRAND CENTRAL APARTMENTS, CANAL RD",Donegal,F92F5XT,130000,No,No,0,Second-Hand Dwelling house /Apartment,,54.91667,-8
11/6/2021,"TIDEWAYS, STRAND ROAD, CARIGALINE",Cork,P43HF20,830000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
5/2/2021,"176 CRODAUN FOREST PARK, CELBRIDGE, KILDARE",Kildare,,350000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3541865,-6.5445804
15/10/2021,"WHITEROCK, TINAHELY, WICKLOW",Wicklow,,195000,No,No,0,Second-Hand Dwelling house /Apartment,,52.8304681,-6.5170335
17/12/2021,"28 Cnoc an Cairn, Dingle",Kerry,,259910,No,Yes,1,New Dwelling house /Apartment,,52.14083,-10.26889
29/09/2021,"2 HIGHFIELD, MAGAZINE RD, CORK",Cork,T12W9N1,210000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
29/01/2021,"BALLYHUGH, GORT, CO GALWAY",Galway,,187500,No,No,0,Second-Hand Dwelling house /Apartment,,53.0639686,-8.8254155
28/07/2021,"25 CHARTER HOUSE, MAYNOOTH, KILDARE",Kildare,W23E621,180000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3829153,-6.5886893
