Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
17/12/2018,"29 Fairway Drive, Cualanor, Dun Laoghaire",Dublin,,"???837,004.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
6/2/2018,"Rossanrubble, Newport",Mayo,,"???320,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.88333,-9.55
24/08/2018,"CONSTABLE HILL, HACKETSTOWN, CARLOW",Carlow,,"???135,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.8542662,-6.583048
7/3/2018,"FOUNTAIN HILL, CLADDAGHDUFF, CO GALWAY",Galway,,"???320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.54444,-10.14167
22/10/2018,"CLOONERK, DERRANE, KILROOSKEY",Roscommon,,"???60,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
5/1/2018,"CLONMEEN, COOLESTOWN, RHODE",Offaly,,"???310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.35222,-7.20167
21/08/2018,"KILMACOWEN, BALLISODARE, CO SLIGO",Sligo,,"???80,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
14/12/2018,"11 OLD COLLEGE HALL, BALLINODE, CO. SLIGO",Sligo,,"???130,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
19/09/2018,"25 NEWLANDS, MULLINGAR, CO WESTMEATH",Westmeath,,"???200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5212992,-7.3357619
26/01/2018,"113 ARD PATRICK, GLENTIES, CO DONEGAL",Donegal,,"???125,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.7975,-8.2825
3/5/2018,"38 BIRR ST, KILCORMAC, OFFALY",Offaly,,"???85,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.17417,-7.72556
31/01/2018,"54 DUN EMER AVE, DUN EMER, LUSK",Dublin,,"???135,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.5253568,-6.17789
30/11/2018,"137 TULLYLOST CROSS, RATHANGAN, KILDARE",Kildare,,"???146,863.00",No,No,Second-Hand Dwelling house /Apartment,,53.22139,-6.995
8/6/2018,"44 PINEWOOD LAWN, ABBEYSIDE, DUNGARVAN",Waterford,,"???152,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1028234,-7.6196608
7/9/2018,"10 Hampton, Gracepark Road, Drumcondra",Dublin,,"???748,899.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.33306,-6.24889
21/09/2018,"8 Muileann Pairc, Millview Road, Kanturk",Cork,,"???206,290.30",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.16667,-8.9
5/7/2018,"228 RUSHEENEY AVE, CLONSILLA, DUBLIN 15",Dublin,,"???273,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/08/2018,"BALLYCAMAS, GOOLDSCROSS, TIPPERARY",Tipperary,,"???300,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
14/12/2018,"202A HAMPTON LODGE, GRACEPARK RD, DRUMCONDRA",Dublin,,"???327,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.3756144,-6.2443932
30/10/2018,"STATION RD, GLENTIES, DONEGAL",Donegal,,"???100,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.1208328,-7.9003206
23/02/2018,"12 Ferns Green Ferns Bridge, Monasterevin, Co Kildare",Kildare,,"???213,287.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.1498743,-7.0576479
20/03/2018,"37 THE WEAVERS, MEATH ST, DUBLIN 8",Dublin,,"???188,571.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/03/2018,"4 STONEBDIDGE, RATOATH, CO. MEATH",Meath,,"???308,370.03",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.50806,-6.4625
2/10/2018,"MAGHERAHANN, RAPHOE, COUNTY DONEGAL",Donegal,,"???20,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.87472,-7.59833
4/4/2018,"KNOCKS, ROSSMORE, CLONAKILTY",Cork,,"???315,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.62306,-8.87056
22/08/2018,"26 ANNA VILLA, RANELAGH, DUBLIN 6",Dublin,,"???730,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3215898,-6.2519653
21/12/2018,"HILLVIEW, CLOUGHLEIGH RD, ENNIS",Clare,,"???112,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.8488899,-8.9951182
15/01/2018,"7 LERR AVE, CASTLEDERMOT, KILDARE",Kildare,,"???257,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.9065889,-6.8398489
3/12/2018,"APT 5 BLOCK 2, WATER LANE, MAIN ST",Offaly,,"???100,406.25",No,No,Second-Hand Dwelling house /Apartment,,53.25,-7.5
15/11/2018,"11 Taylor Green, Taylor Hill, Balbriggan",Dublin,,"???259,912.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.6102785,-6.2067946
12/6/2018,"7 CHURCH LANE, LISMORE, CO. WATERFORD",Waterford,,"???70,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1386403,-7.9277585
13/07/2018,"9 CASTLE COURT, ABBEY ST, PORTUMNA",Galway,,"???126,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.08917,-8.21889
13/03/2018,"108 GLENBROOK, OLD SINGLAND RO, LIMERICK",Limerick,,"???199,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
14/09/2018,"APT 352 BLOCK 5, CITY CAMPUS DEVELOPMENT, LORD EDWARD ST",Limerick,,"???152,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
15/08/2018,"19 BRU NA HABHAINN, COLLOONEY, CO.SLIGO",Sligo,,"???145,374.44",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,54.178576,-8.4937965
7/12/2018,"CARRIGPARSONS, BALLYSIMON, LIMERICK",Limerick,,"???190,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.64694,-8.56778
2/8/2018,"DRUMLON KILLEAGH RD, CASTLEMARTYR, CORK",Cork,,"???255,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91028,-8.05389
16/10/2018,"12 ST PATRICK'S TERRACE, SLIGO",Sligo,,"???94,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
26/10/2018,"5 FAIRLANDS, ROSCOMMON RD, ATHLONE",Westmeath,,"???185,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.43333,-7.95
17/07/2018,"GORTAHA, PORTUMNA, COUNTY GALWAY",Galway,,"???35,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.0991136,-8.202689
16/10/2018,"89 ARDAN NA MARA, YOUGHAL, CORK",Cork,,"???88,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.95,-7.85056
30/11/2018,"1 ARDEE TERRACE, BALLYDOOGAN ROAD, MAUGHERBOY",Sligo,,"???39,107.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
31/05/2018,"73 Acha Bhile, Loughville, Ennis",Clare,,"???168,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.84361,-8.98639
2/10/2018,"1 Boley View, Rossminogue, Gorey",Wexford,,"???312,775.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.67472,-6.2925
26/10/2018,"30 WATERSIDE WALK, SWORDS RD, MALAHIDE",Dublin,,"???315,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/01/2018,"7 ALDERGROVE, NAAS, CO KILDARE",Kildare,,"???320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
13/11/2018,"62 LINTOWN AVE, KILKENNY",Kilkenny,,"???168,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.660498,-7.2380353
5/7/2018,"Apartment 75  Leona Block, Honeypark, Dun Laoghaire",Dublin,,"???361,233.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
25/01/2018,"122 BEATTY PARK, CELBRIDGE, CO KILDARE",Kildare,,"???340,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3464203,-6.5438586
21/12/2018,"No. 10 Bounds Court, Airport Road",Waterford,,"???158,615.00",Yes,Yes,New Dwelling house /Apartment,,52.25833,-7.11194
13/06/2018,"19 MARIAN PL, TULLAMORE, OFFALY",Offaly,,"???98,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2756092,-7.4984042
3/7/2018,"THE COTTAGE, THE CHAIRE, FRIARSTOWN",Kildare,,"???625,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
24/09/2018,"24 Kingsland, Beaverstown Road, Donabate",Dublin,,"???378,855.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
6/9/2018,"40 MARWOOD AVE, GLANMIRE, CORK",Cork,,"???357,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.9270043,-8.3829442
24/04/2018,"5, MOATVIEW TERRACE, PRIORSWOOD DUBLIN 17",Dublin,,"???67,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/03/2018,"20 PARK VIEW LAWNS, CLONDALKIN, DUBLIN 24",Dublin,,"???292,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/08/2018,"9 HAYWORTH MEWS, ONGAR PARK, CLONSILLA DUBLIN 15",Dublin,,"???275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
3/7/2018,"9 MOUNT DRINAN PARK, KINSEALY, SWORDS",Dublin,,"???292,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
2/7/2018,"28 FOSTERS AVENUE, MOUNT MERRION, COUNTY DUBLIN",Dublin,,"???800,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3029828,-6.2080652
27/03/2018,"22 STATION COURT, RAILWAY RD, PORTARLINGTON",Laois,,"???155,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.16222,-7.19111
23/03/2018,"CHERRY COTTAGE, FAITHLEGG, WATERFORD",Waterford,,"???230,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
9/2/2018,"16 EDWARD SQ, BLOOMFIELD, DONNYBROOK DUBLIN 4",Dublin,,"???2,400,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
31/05/2018,"5 REENELLEN, KNIGHTSTOWN, VALENTIA ISLAND",Kerry,,"???140,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.926401,-10.2899888
26/10/2018,"5 BOTHAR BUILDING, CHAPEL HILL KNOCKAGORAN, LOUTH",Louth,,"???199,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.94861,-6.54139
16/11/2018,"CURRAHEEN, ROSSCARBERY, CORK",Cork,,"???290,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.5749814,-9.040859
9/1/2018,"1A SARSFIELD ST, OFF BERKELEY RD, DUBLIN 7",Dublin,,"???200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
9/7/2018,"DRIM, MOUNTRATH, CO LAOIS",Laois,,"???220,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.99889,-7.47278
19/12/2018,"32 THE AVENUE, LAKEPOINT PARK, MULLINGAR",Westmeath,,"???191,355.48",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
1/11/2018,"3 REGAL COURT, OLD WATERFORD ROAD, CLONMEL",Tipperary,,"???96,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
8/10/2018,"29 BOTHAR GLAS, BALLYCONNELL, CO CAVAN",Cavan,,"???100,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.11667,-7.58333
17/09/2018,"127 BRUMSWICK ST, RICHMOND APT, SMITHFIELD",Dublin,,"???305,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
10/7/2018,"122 THE ACADEMY BUILDING, PARK WEST POINTE, BLUEBELL",Dublin,,"???75,679.02",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/06/2018,"24 Shackleton Crescent, Shackleton Park, Lucan",Dublin,,"???334,801.76",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.3474004,-6.4692711
21/12/2018,"MAIN STREET, LOUGHGLYNN, CASTLEREA",Roscommon,,"???80,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.76667,-8.5
29/03/2018,"150 CLUINE RI, ASHBOURNE, MEATH",Meath,,"???230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51163,-6.39821
31/10/2018,"SUNNYSIDE, RAMSTOWN, FETHARD ON SEA",Wexford,,"???200,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.19261,-6.83968
13/03/2018,"22 ST BRIGIDS VILLAS, NAVAN, MEATH",Meath,,"???123,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
9/2/2018,"29 THE COURTYARD, FOTA ISLAND RESORT, CARRRIGTOWHILL",Cork,,"???230,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
6/2/2018,"6 BRIGHTON AVE, CLONTARF, DUBLIN 3",Dublin,,"???450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3665783,-6.225561
15/08/2018,"3 FAIRYHILL, BLACKROCK, DUBLIN",Dublin,,"???640,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
8/1/2018,"BALLYNACOURTY, CAPPAGH, DUNGARVAN",Waterford,,"???190,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1076375,-7.7123547
7/11/2018,"28 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",Dublin,,"???571,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2634443,-6.1436683
16/08/2018,"CORNACARTHA, CORIGEENROE, BOYLE",Roscommon,,"???20,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.96667,-8.3
20/12/2018,"7 PEMBROKE, CARLOW",Carlow,,"???82,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
27/06/2018,"51 JERVIS PLACE, UPPER ABBEY ST, DUBLIN 1",Dublin,,"???193,333.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/12/2018,"12 GARDINERS HILL AVE, ST LUKES, CORK",Cork,,"???230,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
17/08/2018,"8 COPPINGER CLOSE, BLACKROCK, CO DUBLIN",Dublin,,"???577,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2901703,-6.1885104
23/03/2018,"THE PADDOCKS, 59 BUSHY PARK RD  RATHGAR, DUBLIN 6",Dublin,,"???2,500,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/10/2018,"98 MEADOWLANDS, TRALEE, KERRY",Kerry,,"???166,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2768755,-9.6930994
20/12/2018,"24 ASSUMPTION TERRACE, NEW ROSS, WEXFORD",Wexford,,"???90,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3992639,-6.9523818
19/04/2018,"18 AHERLOW WOODS, AHERLOW, TIPPERARY",Tipperary,,"???92,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4188113,-8.1941226
18/09/2018,"12 VAVASOUR SQ, SANDYMOUNT, DUBLIN 4",Dublin,,"???1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/04/2018,"BALLYCAR, NEWMARKET ON FERGUS, CLARE",Clare,,"???80,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.7609295,-8.8889002
12/3/2018,"242 PHIBSBOROUGH RD, PHIBSBOROUGH, DUBLIN 7",Dublin,,"???132,300.00",No,No,Second-Hand Dwelling house /Apartment,,53.3632964,-6.2723179
13/04/2018,"ARDMORE, WESTPORT, MAYO",Mayo,,"???580,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7905144,-9.5504464
23/07/2018,"APT 9, LA TOUCHE HALL, 38-39 AUNGIER ST",Dublin,,"???237,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
22/06/2018,"14 PAIRC MHUIRE, TULLOW, CO CARLOW",Carlow,,"???122,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.8059561,-6.7305443
4/10/2018,"3 Church View, Enniskeane, Co Cork",Cork,,"???160,352.42",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.89797,-8.47061
28/09/2018,"166 STAPOLIN LAWNS, BALDOYLE, DUBLIN 13",Dublin,,"???420,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3992636,-6.143422
2/7/2018,"27 NEWLANDS MANOR DR, CLONDALKIN, DUBLIN 22",Dublin,,"???210,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3079675,-6.4071867
27/03/2018,"Apartment 47 Sycamore House, Silverbanks, Baldoyle",Dublin,,"???158,590.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
5/10/2018,"82 ADMIRAL PARK, BALDOYLE, DUBLIN 13",Dublin,,"???450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3980847,-6.1346665
16/03/2018,"137 GLEANN ALAINN, TULLYALLEN, LOUTH",Louth,,"???191,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7380622,-6.4126034
10/4/2018,"BALLYBOGAN, ATHENRY, CO GALWAY",Galway,,"???20,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.29639,-8.74306
21/12/2018,"34 TAILTEANN COURT, LONGFORD RD, MULLINGAR",Westmeath,,"???135,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
8/11/2018,"BALLYHICKEY, QUIN, CLARE",Clare,,"???140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.8342881,-8.8554512
11/12/2018,"225 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",Dublin,,"???365,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/02/2018,"15 Elder Heath Close, Elder Heath, Kiltipper Road",Dublin,,"???300,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
11/5/2018,"22 Woodbank, Dublin Road, Shankill",Dublin,,"???484,581.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.33306,-6.24889
18/04/2018,"89 HENRY ST, LIMERICK, LIMERICK",Limerick,,"???148,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6619298,-8.6307171
15/03/2018,"46 HOLYWELL CRESCENT SOUTH, HOLYWELL, FELTRIM RD",Dublin,,"???221,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
31/10/2018,"22 THE CEDAR, PARKVIEW, STEPASIDE DUBLIN 18",Dublin,,"???315,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/04/2018,"10 PARKLANDS, TUBBERCURRY, SLIGO",Sligo,,"???56,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0583035,-8.7268076
17/12/2018,"35 MILLTOWN HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin,,"???638,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/2/2018,"14 HOMELAWN AVE, DUBLIN 24, DUBLIN",Dublin,,"???232,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2843,-6.3498278
25/04/2018,"10 MAUDLIN STREET, KELLS, CO MEATH",Meath,,"???106,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7286844,-6.8764471
31/08/2018,"PARKMORE, CARRIG, ROSCREA",Tipperary,,"???250,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
17/05/2018,"BARNAHESKER, KILKELLY, CO MAYO",Mayo,,"???98,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.853309,-8.8618571
25/01/2018,"KEEAS GLENCAR, GLENCAR, KERRY",Kerry,,"???330,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.16667,-9.75
22/11/2018,"3 INCHICRONAN, CRUSHEEN, CLARE",Clare,,"???175,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.9402737,-8.8949635
16/10/2018,"41 Brighton Wood, Brighton Road  Foxrock",Dublin,,"???726,872.25",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
22/06/2018,"16 DUNKERRON WOODS, SNEEM RD, KENMARE",Kerry,,"???216,000.00",No,No,Second-Hand Dwelling house /Apartment,,,
19/06/2018,"APT 1, 10 RAILWAY ST, BALBRIGGAN",Dublin,,"???165,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6109823,-6.1838441
31/01/2018,"Main Street, Ballydehob, P81 H504",Cork,,"???40,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.562667,-9.4617658
6/11/2018,"17 Ferns Close, Ferns Bridge, Monasterevin",Kildare,,"???109,251.10",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.146724,-7.0594883
28/09/2018,"APARTMENT 15, RIVERVIEW, BALLIANSLOE",Galway,,"???22,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
2/8/2018,"COMME JE TROUVE, KERRY PIKE, CARRIGROHANE",Cork,,"???320,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
16/04/2018,"6 ABBEY CLOSE, FERRYBANK, WATERFORD",Kilkenny,,"???140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
20/03/2018,"Rowan Tree Hostel and Restaurant, 1 Harmony Row and 2 Harmony Row, Ennis",Clare,,"???100,000.00",No,No,Second-Hand Dwelling house /Apartment,,,
6/12/2018,"79 MOSTRIM OAKS, EDGEWORTHSTOWN, CO LONGFORD",Longford,,"???139,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.693374,-7.6139502
20/12/2018,"MONAMORE, WESTPORT, CO. MAYO",Mayo,,"???120,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8093283,-9.5000798
31/08/2018,"65 CORRAN ARD, ATHY, CO KILDARE",Kildare,,"???145,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.9817334,-6.9973081
7/12/2018,"STRANACORCA, SHEASKIN BEG ROAD, DERRYBEG",Donegal,,"???127,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,55.08333,-8.28944
14/12/2018,"WEST WINDS, AGHERINAGH, LOWER DRIPSEY",Cork,,"???38,092.00",No,No,Second-Hand Dwelling house /Apartment,,51.91667,-8.75
6/2/2018,"128 CLONARD VILLAGE, NEW LINE RD, WEXFORD",Wexford,,"???187,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.33417,-6.4575
1/11/2018,"APT 14 CHERRY LODGE, FARMLEIGH, CASTLEKNOCK",Dublin,,"???423,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.367206,-6.3628642
22/08/2018,"29 CAPELLA COURT, LANGTON CROSS, NEWBRIDGE",Kildare,,"???77,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
5/7/2018,"3 GLENVIEW SQUARE, TIPPERARY",Tipperary,,"???40,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4681643,-8.1576537
16/07/2018,"MAPLE TREE HOUSE, BULLOCK HARBOUR, DALKEY",Dublin,,"???3,170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/08/2018,"REENMEEN, GLENGARRIFF, CORK",Cork,,"???185,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7527613,-9.5333059
20/07/2018,"APT 140 THE VILLAGE, CLARION RD, BALLYTIVNAN",Sligo,,"???81,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
26/10/2018,"38 BELMONT GREEN, WALSHESTOWN, NEWBRIDGE",Kildare,,"???455,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
16/05/2018,"PAULVILLE, TANKARDSTOWN, TULLOW",Carlow,,"???183,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.80028,-6.73694
